id	tweet	subtask_a	subtask_b	subtask_c
13017	 No wonder he is being apologetic and more social these day	NOT		
18129	 Any updates re ending your blatant racism as Windrush amp Grenfell proves you are alloutpolitics politicslive PMQs URL	NOT		
70380	 Do you know whats going to happen now Im going to have to lay in bed and cry while I listen to Kelly Clarkson Thanks free speech antifa	NOT		
12108	 You are not very smart are you Why do you think Gen Flynns sentencing keeps being rescheduled URL	OFF	TIN	IND
14726	 Thats expected if you placate the violent leftiststerrorists KavanaughConfirmation woke	OFF	TIN	GRP
74358	 Blow hard	NOT		
82599	 That means you are a max lvl Twitter user and maybe should try a new game	NOT		
40212	 Please explain what controlled opposition means As for Bernier escaping he split with the rest of the Conservatives because hes even more racist and exclusionary than they want to be	NOT		
78367	 Socialists politics that stand up for the downtrodden And well done for conflating criticism of Israel with anti semitism You are also part of the problem	NOT		
66596	 Nina One of the reasons I didnt read this book for so long was because I was SO WORRIED about her character I shouldve trusted everyone Nina is a goddamn goddess I would die for a thousand times over She is big and bold and lovely and PERFECT HER ARC IS PERFECT	NOT		
70999	 PLEASE vote NO on Kavanaugh He is not fit for SCOTUS and allegations about women and shady financials should disqualify him RuleOfLaw matters MeToo CountryOverParty WithdrawKavanaugh StopKavanaugh	NOT		
36026	 Ppl who say Im not racist are racist You Are A Racist Repeat after me	NOT		
29439	 Kathy the Patriot YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP A SPINE OF US STEEL CHANGING IT ON TRADE amp EVERYTHING FOR AMERICANS AMERICAFIRST USA MAGA LEADERSHIP amp RESPECT ECONOMY JOBS PEACEthruSTRENGTH GOD BLESS TRUMP amp THEUSA   	NOT		
74477	 Wow you liberals really dont have a sense of humor	NOT		
49845	 IM SO FUCKING READY	NOT		
32305	 Holy moly If the catholic people havent been awakened by this  FalseProphet Lunatic	NOT		
77243	 Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT		
73205	 What a surprise same as antifa BLM and so on and so on Soros is Americas worst enemy in HISTORY He believes the only way to take down the USA is from withing And hes right But its not gunna happen	NOT		
47311	 Me too Her wedding was the best She is very pretty	NOT		
48553	 No conflict heredont look at this Soros involved in violent left agenda of Antifa also	NOT		
75689	 URL any of your announcements every come to fruition or is it basically stealing Labours ideas to get a few more votes	NOT		
84102	 out of  British people are basically fullon racists  out of  voters vote for the Conservatives Coincidence	OFF	TIN	GRP
10607	GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC A URL	NOT		
43913	 Hi there We love what a huge fan of Camila Mendes you are Would it be alright if we used your tweet about her in our promotional material	NOT		
98992	 Fuck off	OFF	TIN	IND
92056	 Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities Id like to know if the black population that suffers the most shares her opinion	NOT		
33853	 The prison system is so fucked Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane They did this in Louisiana and like  inmates went missing	OFF	TIN	OTH
75215	 She is useless Attempts to do the right thing but never follows through	OFF	TIN	IND
96218	WalkAway liberalsYour party is POISON URL	NOT		
57013	 Grateful Trump doesnt have a dog in the White House He is a cruel man	OFF	TIN	IND
20883	 You are lying Stick with the facts We pay more than that now	NOT		
74831	 Trump kicks dem butt  its so fun	OFF	TIN	IND
53264	 He is dumb and dumber all in one president Its a two for one	OFF	TIN	IND
28204	Toxictory minister attempted to expense  charity donation Its what do Toriesmustgo DissolveTheUnion URL	NOT		
42024	 ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for Manmarziyaan 	NOT		
84664	 And this from the clown that should be in prison	OFF	TIN	IND
54842	 did Twitter silence alex jones in retaliation of him asking Twitter jack questions URL	NOT		
48995	 Thats because you are an old man	OFF	TIN	IND
47153	 They are obstructionists Antiamerican Pharisees Ask them what they are running on and you get nothing Maga	OFF	TIN	OTH
76826	 No youre notyoure here  represent the Alinskyite Orwellian Leftist ToolampFool view on thingslike  of the MarxistsampAntifa similar Upsst And BU use the words fascist or fascism again go ahead amp read DSouzas book The Big Lieright now U know SQUAT about either	NOT		
27645	 I do remember  But somehow centrist antifahaters can never quite seem to bring themselves to condemn such things	NOT		
64429	 I mean it worked for gun control right URL	OFF	TIN	GRP
20943	 I think the last thing on the WH or Trumps mind is April Ryan She needs to stop flattering herself Shes not as important as she thinks she is	NOT		
78064	 Principled conservatives are Hypocrickets	NOT		
14122	 Dont forget amp Democrat backed Antifa	NOT		
72353	 She is a beautiful person to teach values to her kids Teaching them they are royalty but keep to keep it from going to their heads Stay real 	NOT		
39051	 Bring out his Antifa criminal son to campaign for him	NOT		
54546	 I didnt watch and will not watch Watching the September th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this momentprotest on a Saturday	NOT		
50759	A tear is made of  water and  feelings	NOT		
75992	 Trump addresses gun control representing the NRA I will not let you down he says URL	NOT		
45068	 She is drinking so much koolaid shes bloated	OFF	TIN	IND
17259	 Holder needs to be prosecuted	NOT		
95225	 But But BOTH PLAYERS WERE WOMEN And BOTH WERE WOMEN OF COLOR	NOT		
84667	 The Institution only let her tweet when she behaves She is a Window Licker	OFF	TIN	IND
14574	babysitting  kids peoplehow old do you think she is she has three kids medont get mad dont get mad they dont know they dont know	NOT		
23784	 well URL	NOT		
93119	WTC This is a threat  Maga QAnon WakeUpAmerica URL	OFF	TIN	IND
30115	 Its easily digestible content Theres no need for nuance or to even understand the story They can show a picture of an ANTIFA and get the base level emotional response their content requires in order to be profitable	NOT		
69281	 Try looking for plain old democrats The liberals are the ones which you cant have a conversation with	NOT		
15322	 Great news Old moonbeam Just went into a coma 	NOT		
75089	 OMG HE IS SO EXTRA ILY	NOT		
21379	 Please call trump out for what he isa NARCISSISTIC SOCIOPATH	OFF	TIN	IND
43133	 Unfortunately in America a system like that would be called racist Liberals believe exams are racist against minority groups	NOT		
52102	 I know She is still alivebut wondering if her career was railroaded Odd Loved herespecially that day	NOT		
59537	 Guy you are always presentbet why Lol	NOT		
44209	 what a baby URL	NOT		
96664	 you are very persuasive fam	NOT		
12559	 THATS NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAYWE WILL VOTE NO TO LIBERALS IN NOVEMBER URL	NOT		
61914	 Burt A cool dude	NOT		
32317	MAGA IF YOU ARE ALL IN FOR TRUMP FOLLOW ME AND I WILL FOLLOW BACK	NOT		
94767	 thank u im finally at the point where im okay with using heat on it again im so happy	NOT		
64835	 Kind of like what trump does all the time huh	NOT		
41353	 Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me	NOT		
52252	 Fuck em	OFF	TIN	GRP
91001	 Good movehe is the big loser	OFF	TIN	IND
18495	 Lets get to the bottom of this DM me your zipcode and Ill check it out We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP NevinBruce	NOT		
76680	 For the record I know Doug Jones personally and he is only a Sen Bc we had no other credible choice He wont be at the next election	NOT		
88013	 The presidents feelings are totally opposite of CNNs feelings So what does that say about CNN Theyre all liberals	NOT		
66349	 its literally a narrative that is on par with Nazis punch antifa punch they are two sides of the same coin noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews the other just wants to prevent them from doing that and this comparison benefits fash	OFF	UNT	
80561	 There are many dumb arguments for gun control but this may be the dumbest and most common	OFF	TIN	IND
16052	 she is idk whats going on	NOT		
49996	 Yall need to chill he is having a really abysmal nd half Rizzo had an abysmal st half Its baseball it happens Does he have things he still needs to work on yes Has the power numbers dropped yes but he could bounce back at anytime URL	NOT		
77086	 Dude you are old Lmao PS Go Pack Go	NOT		
10972	 Thats why Trump supporters cant even wear a hat without being abused If they meet the animals on the left attack them Antifa is a branch of the CommunistSocialistNazis Democrat Party	NOT		
69160	 The laughs Ive gotten from you are enough 	NOT		
28380	 well	NOT		
40252	 First of all they dont even have pizza at Panera	NOT		
39907	 please dont kill me antifa on the other hand	OFF	TIN	IND
16164	 Did you see Shanahan say Spoon was not  healthy this game Obviously no excuses if youre out there BUT maybe its not the all is doom sort of thing it seemed during the game Maybe he is still pretty good	NOT		
52824	 Good girl 	NOT		
77294	 She is an ugly black hearted troll URL	OFF	TIN	IND
13420	 You are clearly not a pokemon master I have almost  in rare candy alone Over  legacy moveset pokemon It just all depends on what you like to keep as collection pieces and what you value in the game	NOT		
16940	 Dont believe the hype	OFF	UNT	
83816	 Followed all new  MAGA Please follow back	NOT		
99156	Protests Reported in Sunderland Except these are football fan and one flag says WestBrom on it Getting worse now even as I type MAGA MEGA MBGA MCGA Conservatives Patriots Muslims FarLeft Leftists doomed to lose but do not realises it CivilWar soon URL	NOT		
11255	 Liberals would still vote for him Theyll claim his comments were Taken out of context and that he is still a man of integrity	NOT		
28841	 We have been saved from you MAGA	OFF	TIN	IND
79060	 You are bringing up honor and decency With that yoyo in the picture Thats rich	NOT		
71682	 Good riddance	NOT		
17577	 She is a goddess	NOT		
27503	 Omg xD The worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead	NOT		
59998	 You can probably imagine all the SJW snowflakes that dont feel safe working where there might be conservatives lurking in the shadows Conservatives are now the Ruskies of the st century	OFF	TIN	IND
81119	 I see May in the same light as yourself Even the last election was about her and not the Conservatives A split is coming to the Tory partyvery soon	NOT		
28812	 This all I get  damn these haters deleting you IG for no reason URL	OFF	TIN	GRP
84131	 Do you think Canadian liberals will actually blame Trudeau if he costs them this Or as per standard push it off on us	NOT		
23179	 You warned everyone about Josh Gordon the last  months on a daily basis Im sure you are as shocked as I am of what transpired today	NOT		
28601	 Why cant liberals read READ it AGAIN URL	NOT		
64776	 SJSHSJ THATS MY JOB BITCH	OFF	TIN	IND
95712	 Do they discuss Haiti	NOT		
69972	 What part of NO COLLUSION dont you get This is why you are a dumocrat	OFF	TIN	IND
37115	 He is very skilled	NOT		
80696	 You are amazing 	NOT		
68163	 Fist pump was for the troops	NOT		
96789	 if the reason for Farakans illegal values are because he is black or Muslim that would be a reason to detest him I believe his illegal values are simply a result of bad character like his supporters	OFF	TIN	GRP
68629	 Let the leftist democrats riot in the streets with their antifa counterparts	OFF	TIN	IND
66109	 I thought Canada had strict gun control Help me understand what is happening	NOT		
19419	 They dont want you following people because they dont like conservatives Sickening how biased Twitters management is TwitterLeftBias	NOT		
32942	 He is doing life tho	NOT		
74285	 Its SO VERY IMPORTANT between now and the midterms to get the word out that all the democrats want people of color to believe is they support them  which as you know is SO false How can the word spread even more to those who need to know MAGA NAACP	NOT		
77319	 ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached	OFF	TIN	IND
30517	 Have you seen or listened to your ANTIFA pals	NOT		
69077	 In case of antifa take a little bat or something Good for you more of should do that kind of thing	NOT		
67758	 Your titles scare me a little bit 	NOT		
35944	 gtEradicating HIV and Malaria in the middle of Africa Good bloody luck	NOT		
48223	 The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade ableg cdnpoli	NOT		
47168	 And who seems to be getting things done	NOT		
53947	I added a video to a playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer YFC 	NOT		
49504	 So has the Law changedyou just make an allegation now days and your guilty until proven innocent Liberals are mentally ill	OFF	TIN	GRP
66291	 Straight up different Thank Joe Biden for that one I also wonder the outcome if her name had been Antifa Hill	NOT		
31229	 This game sucks donkey balls	OFF	TIN	GRP
75850	 Yo for real you are gorgeous	NOT		
88546	 Absolutely should be a nail in the coffin for Hilliary	OFF	TIN	IND
29241	 I hope he gets on twitter so I can tell him how amazing he is 	NOT		
19842	 Who are they Gun control has been tried and is a proven failure This is why people dont vote democrat They refuse to admit reality Gun control doesnt work	NOT		
69232	 So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about Just because California has the biggest population does not mean the US shares in their values Get a clue Hillary	NOT		
36471	 Doesnt he partly fund Antifa	NOT		
32897	 He is a DUMBASS 	OFF	TIN	IND
62072	 and LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away  or is it just selective freedoms URL	OFF	TIN	GRP
95444	 At this point in time I dont think Pres Trump gives a sht and neither do I LOL URL	OFF	TIN	IND
51172	 OK Conservatives get to the polls Vote red	NOT		
62481	 donnie jr you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic Shame on you and your family Justice will prevail	OFF	TIN	IND
71895	A HarvardHarris Poll conducted this year found that  percent of black Americans said they would like to see between only one and  legal immigrants brought to the US a year URL MAGA tcot	NOT		
78366	 Any doubt that have officially become The National Socialist American Workers Party is gone With ppl like those on and acting as Der Sturmer and Antifa as their EinsatzgruppenWaffen SS detachment	NOT		
39021	 Oh my Carmen He is SO FRICKING CUTE	OFF	TIN	IND
68840	 Chelsea is as crazy as her mother	OFF	TIN	IND
96837	 Its time the Conservatives binnedBoris and sent lyin Lynton back to Australia	NOT		
51815	 The  manifesto promised me my vote back So where is it You think Brexit would have gone through if all the Brits in the EU had been allowed to vote The referendum was gerrymandered	NOT		
62023	 THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A COMPLETE JOKE IF THIS MOVEMENT WASNT SELECTIVE JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA URL	NOT		
10253	 you are awesome Thank you You give humanity hope	NOT		
21367	 GOOBER	NOT		
33797	 Another uninformed	NOT		
11160	 I forgot he is their foster child	NOT		
32916	 And the brainless DEMS wants us to believe that he doesnt have the majority Liberals is just like their leaders the corrupts Obama and CrookedHillary both are real bad losers MAGA TRUMP	OFF	TIN	GRP
47427	 No fucking way he said this	NOT		
87052	 Such supposedly smart people didnt think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way	NOT		
29556	 Im not surprised It takes a sick woman to make this type of accusations The kind you can only find on the far left Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support	NOT		
18547	 California gun control is direct result of white people scared of Black Panthers using their right to bear arms NRA had no problem with that gun control	OFF	TIN	GRP
32688	 or where  Oct  Brazil citizens overwhelming voted No on the government implementing strict gun control by a factor of  And the Brazilian government still violates that referendum everyday as Brazilians are murdered wzero effective method of self defense	NOT		
57850	If we claim to be without sin we deceive ourselves and the truth is not in us If we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness  John 	NOT		
82607	 And yet millions of permit holding people carried legally concealed firearms that same day and didnt hurt themselves or anyone else But yet they want to have stronger gun control Idiots  Our wonderful media has to hype incidents that fits their agenda	OFF	TIN	GRP
82339	 Yes do hurt your selves gun control freaks	OFF	TIN	GRP
98077	 You get more like this guy with every hysterical tweet URL	NOT		
62815	 He always shows dedication at what he does no wonder he is the best URL	NOT		
34510	 Bullshit Regulations are good because it keeps conservatives from striping our land into the Abyss	OFF	TIN	GRP
53501	 the owner of my culo	OFF	TIN	IND
69928	Now she scarred herself for life lol MAGA URL	OFF	TIN	IND
31853	 you fucking 	OFF	TIN	IND
13872	Confirm the MAN THE LEFT WING ACTIVIST IS A LIAR WHOS STORY CHANGES NO HARD EVIDENCE ChristineBlaseyFord Innocent until proven guilty ConfirmKavanaugh MAGA WeakRinos Republicans	OFF	TIN	GRP
30791	 Reagan also signed the first gun control bill as governor of CA	NOT		
80385	 Awe Hogwash do we really need you to overstate the obvious	NOT		
54292	 years as a JUDGE Extensive backgroundsNOT a peeplink to TRUMPBOOM Do conservatives only rape liberals URL	NOT		
28985	Im Assuming Im Not Going to Get an Answer Brainless Liberal Stooge OcasioCortez  on T Policy Plan URL WakeUpAmerica THIS is NOT Americas future VOTE Republican or surrender America to these DEM morons MAGA	OFF	TIN	OTH
52375	 This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others  Im waiting for gun control advocates to add this to their list of school shootings  Who buys  caliber handguns Why URL	NOT		
74004	 Leftists showing yet again how vile they can be	OFF	TIN	GRP
70838	 He is a drunk crazy man	OFF	TIN	IND
64577	 HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS  THANK YOU RENA  MAGA  DEAN  URL	NOT		
44448	 Please shut up Ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere Not they you will any way your completely out of tune with Canadian Mr Harper oops I mean Mr Scheer common mistake you so much alike	NOT		
53928	 You are not alone I was sexually assaulted by a fellow law student in  I never reported it because I didnt think I would be believed However something happened that made me realize I wasnt his only victim Then I felt Id made a colossal mistake	NOT		
45337	 But Liberals do	NOT		
85707	 Another terrorist attack not reported by msm	NOT		
63292	 dont know who you are so imma just URL	NOT		
15991	 All that money hadnt made u smarter	OFF	TIN	IND
25009	 Yes He is from Gilmer It makes me laugh so much	NOT		
90990	 U both r my lifeline 	NOT		
65785	 Always thought H Ford was a level headed guy Guess not Note to Ford climate change is summerfall winterspring Happens every year Get over it	NOT		
38837	 Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown	OFF	UNT	
94182	 Unfortunately youre right Keep it real SHE is the assault weapon	NOT		
77653	 She is Real Rocky  Oh My God 	NOT		
27238	 Thank you to everyone for making this possible you are amazing and so are the beautiful bears Im a member of Olivers Army and I appreciate everything you do to make lives better	NOT		
12892	 Yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldnt profile her	NOT		
16885	 By the way why dont you move to Haiti  You liberals seem to make shit holes out of large cities So go somewhere where its already a shit hole so you dont have to do any work 	OFF	TIN	GRP
46581	 Yes she is	NOT		
41517	 He tried this before and it went nowhere Hes  pro gun control Done	NOT		
22717	 He could have killed as many with a hunting rifle with the time and vantage he had He had close to an hour before police entered his room His actual shooting was over  min Making this about gun control is just going to get more people killed We need to be smarter	NOT		
88539	 Aha yes I see that The individual sense of needing to belong to a winning team because of the constant conditioning of selfdevaluation I see a strong sense of this on the Q side but on the lefthillaryantifa side as well regardless if they think theyre winning or not	NOT		
65786	 Oh no I know why that I just dont know what she is talking about because I dont see a tweet she is repling too lol	NOT		
54437	 And here we have another demonstration that gun free zones dont work Brought to you by a liberal who more than likely supports stricter gun control	NOT		
19514	Shouldnt pussy grabbing be the one wearing the gloves while handling food MAGA URL	OFF	TIN	IND
57943	 You have no plan for the environment Even conservatives should be able to understand that you have to be able to live on the planet to make money there	NOT		
66328	 This is what happens when you tell white liberals that they dont get to congratulate themselves on how woke they are until they put their money where their mouth is That simple fact of life breaks their brains	NOT		
34317	 Antifa doesnt beat facsists to try to get them to change their mind  they know its a lost cause to try to change a fascists mind They do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology There is no forcing views on others	OFF	TIN	IND
44837	 SOROS is at the root of everything and anything anti American He has his money in Hollywood all the way to Islam and ANTIFA to illegals  URL	NOT		
36289	FireMorningJoe he is cut from the same cloth as all other conservatives His misogyny and bigotry are always on display He is responsible for Trump URL	OFF	TIN	GRP
80570	 Truly has got to be the most idiotic thing Ive ever seen	OFF	UNT	
43185	 Brigitte Gabriel has experienced a life that most would have nightmares from She is sounding the alarm for Americans Buy her book pay attention to what she is warning America about	NOT		
86477	 It does work If you want to control a population Australian gun control had no effect on homicides	OFF	TIN	OTH
67080	 Poor baby	NOT		
96270	 Antifa  Democrats  Dixiecrats  KKK URL URL	NOT		
44015	 Liberals ruin everything	OFF	TIN	GRP
48060	 And dont forget his telling a primarily black liberal audience conservatives want to put them back in chains	NOT		
31065	 Sad for both To be exploited and also to have a reputation destroyed Now Ive read shes part of Antifa 	NOT		
11411	 Thats what happens when you let a liberal get a hold of a gun That would be a good place to start gun control Ban liberals from getting guns	OFF	TIN	GRP
10133	 You look happy MAGA	OFF	TIN	IND
22128	 Trump proposes racial profiling as a tactic to start thinking about URL	NOT		
36518	 Introducing my sweet sweet baby king He is always sooo nice And when I try to sit on the sofa he NEVER attacks me URL	NOT		
59559	 There all gone tho and Inputed them from bottom to top with the first seconds of your tweet  You good  Tmart 	NOT		
99618	 Exactly He is on record basically saying the President is above the law It should be noted that the gop is fine with this Rudy has his own issues URL	NOT		
53309	KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded Unprecedented Armed Protection for Gun Control Sen Kamala Harris URL via 	NOT		
29497	 Yet she is fat herself	OFF	TIN	IND
84329	 There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings arent about guiltyinnocence got on the bench Times are diff now Why as a journalist you dont call out white supremacyaltright but Antifa and pick on 	NOT		
50315	 You dont understand who he is and is capablities Despite the proof in the economy My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told The liberal media made bill Clinton look good and could do the same with trump	NOT		
97959	oath must be subpoenaed to testify There is a lifetime appointment at stake here Please do it right this time amp do not allow Orrin Hatch who has already made up his mind she is lying be allowed to question her His kind of questions could invite a lawsuit	NOT		
66524	 Yall are the best	NOT		
97300	 What a joke She is a Gem alright She is a Racist phony Right along with this Racist Phony That thinks she will follow me from her second account And block me Because I speak the truth I could care less about followers Like its a big party I care that they discriminate URL	OFF	TIN	IND
12919	 Indeed he is	NOT		
40855	 Because im a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie Also excuse me for my horrible English its not my native languase and didnt had much schooling in it so im sorry if it sucks 	NOT		
84100	 Yep Antifa are literally Hitler	NOT		
21270	 Wow you are so hot 	NOT		
41818	 she is the most deserving woman to be happy 	NOT		
12435	 Ive noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter	NOT		
14808	 May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens Dont believe all the shit that goes on in your head	OFF	TIN	GRP
82579	 Thats just modelling Plenty of women make shit tons of money just for looking good	NOT		
84523	Just watching a Horizon show about scientists that discovered a DNA mix between humans and NeanderthalsWould have thought Trump getting elected would have been proof enough MAGA	NOT		
61917	 I hope there is a way to watch it on TV Ted spanking liberals is always enjoyable	NOT		
33322	 Just looked up his work History he is listed on the Board of Leading Age Services Aust LASA and comes from Medicare Local Alliancewhat ever the hell that is	OFF	UNT	
79251	 He should look in a mirror	NOT		
42540	 Im sure he is 	NOT		
13881	 Send him this party manifesto where they promised they will help families maybe that will remind him his duties HostileEnvironment PriceOnLove SkypeFamilies URL	NOT		
70402	 Families being separated at the border In fact the picture of children in cages that Liberals were using to show how evil Trump is was actually taken while OBAMA was President	NOT		
83462	 But antifa is her people	NOT		
87206	 We had a Peoples Vote on  June  The people rejected the craven worship which you stand for  by a majority of over m Youre contemptuously defying the will of the people amp  GE manifesto amp supporting Soros in undermining democracy instead	NOT		
87300	 Cause who bitches be playing with  god aint give me the gift for nothing	OFF	TIN	GRP
54125	 she is free as a bird to return to her Muslim homeland	NOT		
75848	mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 	NOT		
14948	 Melting snow flakes	NOT		
66798	 Whos the victim That remains to be seen Liberals have turned Kavanaughs hearings into a circus from the first minute it started	NOT		
80497	 Coming from the man that threatened to try and kick Turmps ass now dont that take a set of balls	OFF	TIN	IND
38561	 Youre shocked to hear that liberals want to centralize power at the federal level	NOT		
55203	 HE IS BEST OF THE BEST	NOT		
31776	WhatILearnedToday liberals cant win without lying	NOT		
60916	 Fast and Furious Holder lol	NOT		
97277	 Getting scared ugly man	OFF	TIN	IND
63113	 is one of the only shows that are a Progressive that I can stand to watch He dislikes the right and left evenly and you know who he is right from the start If youve never seen his show check it out on YouTube Insightful  MAGA	NOT		
59721	 He is NOT Supreme Court worthy	NOT		
53839	 God I hope not URL	NOT		
15616	 Yes he is	NOT		
95200	 Bitch URL	OFF	UNT	
77769	amp terroism amp starvation amp Flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests	OFF	TIN	IND
65790	 I cant prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎 bashing PM cant help but think theyre also egging the former to continue the bashing to boost their fortunes vainly URL	NOT		
48548	  Republican Men in a picture  and  what are men of that age are Law Makers too old no sorry young Republicans are like young Conservatives they are all born at  years of age	NOT		
83751	 Liberals cant meme They have no sense of humor or knowledge of memeing philosophy	NOT		
62541	 any she is stunning	NOT		
62107	 yea your the bitch on the right getting smacked URL	OFF	UNT	
18474	 Why the focus on the Proud Boys I know youre not a real journalist Kelly but why not focus on the ones doing all of the violence ANTIFA If you want a story focus on why journalists leftist activists are constantly ignoring Antifas attacks on people	NOT		
33096	 Hahaha BIG thighs is not going to make it	OFF	TIN	IND
22879	 Its called educating liberals	NOT		
81470	maga christineford trump tcot ccot AmericaFirst Patriots BrettKavanaugh had this to say about Bill Clinton during Whitewater Its imperative to make his pattern of revolting behavior clear  piece by painful piece Indeed URL	OFF	TIN	IND
