test_case	id	source	language	text	task1	task2
EXIST2021	92	twitter	en	tell me WHY i find this picture attractive 	non-sexist	non-sexist
EXIST2021	93	twitter	en	Kaliati says it is unfortunate that a day hardly passes without hearing of a case of rape defilement and other violence against girls women and children	sexist	sexual-violence
EXIST2021	94	twitter	en	 Set a time everyday for showerbath time  set an alarm try to stick to it And remember depression is a bitch but a nice shower goes along way in making you feel less like crap Also invest in nice bath products As our old chef would say you look good you cook good lt 	non-sexist	non-sexist
EXIST2021	95	twitter	en	  NotAllMen admit defeat	non-sexist	non-sexist
EXIST2021	96	twitter	en	Amen Ive had men AND women make nasty comments or assumptions based on clothes Ive worn to shows Maybe mind your business and just enjoy the wrestling  	non-sexist	non-sexist
EXIST2021	97	twitter	en	       It must bother you that youre a supposed feminist but you suddenly find yourself in lockstep with the Religious Right when youve probably fought them on everything all your life They didnt suddenly become feminists Theyre the patriarchy and they LOVE what youre doing	sexist	ideological-inequality
EXIST2021	98	twitter	en	 old men with twisted behaviours on children KincoraUK journalist amp brother STILL with ZERO HumanRights after  yrs harassed bullied 	non-sexist	non-sexist
EXIST2021	99	twitter	en	  No you look like a whore	sexist	objectification
EXIST2021	100	twitter	en	If men have chance to be gold digger they do it with  shame	non-sexist	non-sexist
EXIST2021	101	twitter	en	 i love how  is the emoji you chose to represent how hot women are	sexist	objectification
EXIST2021	102	twitter	en	Just got my wise guys out Women cant tell me that I dont know the pain of childbirth anymore	sexist	ideological-inequality
EXIST2021	103	twitter	en	  Did you really get double gangbanged in  video 	sexist	sexual-violence
EXIST2021	104	twitter	en	  So what exactly do u wish to have been done Go and drag her out I dont understand We are all adults I think until we begin to tell women that they are not less humans and can take their own decisions and responsibilities we cant make progress if we keep shifting blame	non-sexist	non-sexist
EXIST2021	105	twitter	en	A young girl with mismatched eyes and the ability to speak to ghosts comes of age in Puritan New England PitMad HYAS	non-sexist	non-sexist
EXIST2021	106	twitter	en	The patriarchy is really regretting allowing women to read right nowDrJillBiden patriarchy DrBiden KamalaHarris	non-sexist	non-sexist
EXIST2021	107	twitter	en	 Yep whole new use of cockblock	non-sexist	non-sexist
EXIST2021	108	twitter	en	DMs are open for rates Men and women send me your pics bonus points if its a video  sext horny sex porn cum cumslut dick cock penis dickpic tits boobs titpic dmme nudes rates whore slut bi gay lesbian	non-sexist	non-sexist
EXIST2021	109	twitter	en	 Certified slapper	non-sexist	non-sexist
EXIST2021	110	twitter	en	You know the world is a hot mess when a girl on tiktok makes k for a sec vid of her pulling faces not particularly uniquely eitherYou all know people do that to try make babies laugh right	non-sexist	non-sexist
EXIST2021	111	twitter	en	   Wow that gift of a Bracelet to Susanna Reid was so touching He certainly wants her I dont blame him Susanna is such a sexy women especially showing us all in that red sparkly outfit He did make an impression on her i wonder if he finally got to bang her after that	sexist	objectification
EXIST2021	112	twitter	en	 YOUR BEAUTIFUL	non-sexist	non-sexist
EXIST2021	113	twitter	en	 Thanks babes	non-sexist	non-sexist
EXIST2021	114	twitter	en	imagine being traditionally attractive i can not relate to any capacity	non-sexist	non-sexist
EXIST2021	115	twitter	en	 Dude WHY IS HE PLAYING THE VICTIM CARD	non-sexist	non-sexist
EXIST2021	116	twitter	en	    Im a woman so I see this stuff and I understand your argument but I feel like saying the white men that do cruel inhumane things to women and people shouldnt be glossed over if youre comparing the races Im not a racist by any means women hate men stems from men kill us every	sexist	misogyny-non-sexual-violence
EXIST2021	117	twitter	en	 Im a Sagittarius so I hate Sagittarius women	sexist	misogyny-non-sexual-violence
EXIST2021	118	twitter	en	 Hhaaah yes I ddid Fuck Tyler whimpered biting his lower lip as his back arched that fat thumb touching his sensitive folds making his eyes flutter shutSome more of that glistening liquid dripped out of the boys blossoming cunt the pink flesh inside shiny gt	non-sexist	non-sexist
EXIST2021	119	twitter	en	 birthday to you may God continue to shower His infinite blessings on you and your family	non-sexist	non-sexist
EXIST2021	120	twitter	en	 Black Men protect your friends amp family ONLY These Pro Black Women Only Burn The Cape Divest Black Feminazi Twitter DONT LIKE YOU RISKING your life for them is the same as RISKING your life for a Colonizer  Let these grown adults Protect themselves 	sexist	ideological-inequality
EXIST2021	121	twitter	en	 Im just waiting to hear about the  version of the Oedipus complex the childs repressed desire to transition their single parent dad into a mother in order to sleep with them Or maybe its the other way round now I cant keep up Love is love	non-sexist	non-sexist
EXIST2021	122	twitter	en	Well hello isnt kathys skirt very short	sexist	objectification
EXIST2021	123	twitter	en	  Yes severity And I agree with you but I dont give a fuck what the numbers say  The fact remains that if a film crew breaks out then the film is shut down until they have recovered I would like to go to a movie theater again to see something other than a  year old movie	non-sexist	non-sexist
EXIST2021	124	twitter	en	          Thats why Im so proud of the work we do in  today	non-sexist	non-sexist
EXIST2021	125	twitter	en	This was posted on my Instagram in So no it has nothing to do with the  or gamergate reposthappyveteransday yay noschoolthankyouemtsdoctorssoldiersmarinenavyarmyairforceveteranspolicegovernment for fighting for our 	non-sexist	non-sexist
EXIST2021	126	twitter	en	Men cant be feminists is a terf red flag just FYI	sexist	ideological-inequality
EXIST2021	127	twitter	en	 Whooooo once in million that happens yall get hella happy  like fam yall need to chill man this hilarious URL literally damn if you damn if you dont URL literally has to be that Aplus student for Life but if they get A its problems in the house lol 	non-sexist	non-sexist
EXIST2021	128	twitter	en	Me Koonye West is canceled fuck that shuckin n jivin sunken place white womens whoreAlso me listening to Family Business 	sexist	objectification
EXIST2021	129	twitter	en	If thats my child being hit Im coming down to the field to sodomize him the coach Maybe thatll teach him to chill out 	non-sexist	non-sexist
EXIST2021	130	twitter	en	Baby boy this is what you get when you tease me the dom says rubbing his cock as he watches his baby squirm against his restraints Im sorry daddy please just let me cum The dom just grabs their babys throat looks into his eyes and says I dont think so	non-sexist	non-sexist
EXIST2021	131	twitter	en	 Have you seen that one doujin where he got gangbanged tho	non-sexist	non-sexist
EXIST2021	132	twitter	en	 Ivey I look better then  any nigga you ever fucked wit in ya life lbr you like ugly niggas because you can control them you know Im one of them niggas that make a nigga hide they bitch thats why you dont like me and always assume shit	sexist	misogyny-non-sexual-violence
EXIST2021	133	twitter	en	 Gold digger	sexist	stereotyping-dominance
EXIST2021	134	twitter	en	 She pulls down her combat skirt and her panties as her cock hit your pussy oh I wont tease you kitten	sexist	sexual-violence
EXIST2021	135	twitter	en	  Just wait a few years and the Lobbist Feminazi will pass laws allowing killing us	sexist	ideological-inequality
EXIST2021	136	twitter	en	yall wouldnt believe if I told ya that I went an extra length to learn how to make boobs bigger for editsーThe mun is a girl who stays true to her ideals	sexist	objectification
EXIST2021	137	twitter	en	   Oh and Skippy What are you going to do when women refuse to have sex unless they want to have a baby Who are all you incels going to fuck then No wait You dont get fucked now so nothing will change for you Its still a punitive stupid law that serves no purpose	sexist	objectification
EXIST2021	138	twitter	en	 Oh my Thx for sharing this beautiful little ladys journey  Peace and blessings as your carry her spirit w you  always	non-sexist	non-sexist
EXIST2021	139	twitter	en	Theres been an influx of people who refer to themselves as gender critical radical feminists  be aware that these people are part of a hate group that radical right wing evangelicals finance to break up the LGBTQIA unity Their goal is to legalize conversion therapy	sexist	ideological-inequality
EXIST2021	140	twitter	en	ladies is it hot that im good at geoguessr wilbur i dont like men but yes i find it attractive	non-sexist	non-sexist
EXIST2021	141	twitter	en	LADY BOSS SOCIAL An intimate x interactive business event with REAL inspiration ESSENTIAL lessons and VALUABLE advice from women entrepreneurs for todays LADY BOSS allowing for AUTHENTIC connections and CULTIVATED collaborationsJOIN THE WAIT LIST 	non-sexist	non-sexist
EXIST2021	142	twitter	en	       Quoting a news report about Pompeo you cant tweet that Pakistan is marketing Hindus and Christian women aa concubines	sexist	stereotyping-dominance
EXIST2021	143	twitter	en	This is a very nice day to remind you all that Qatar isnt capable of responding quickly when it comes to important things Just like the recent issue that happened in DohaAirport  female passengers were extremely harassed by the airways employees 	sexist	sexual-violence
EXIST2021	144	twitter	en	  Why do you believe a judge or AG would violate his sworn oath of office and rule on politics rather than the law Seriously Is that what you do These women and men decide on evidence not shouting from pols Dont suppose others lie It is unwarranted and I bet you know that	non-sexist	non-sexist
EXIST2021	145	twitter	en	 But the problem is also with women most Muslim women are more feminist than Gloria Steinem very convinced they can incorporate feminism in their beliefs while forgetting that both are opposites of each other	sexist	ideological-inequality
EXIST2021	146	twitter	en	Like its literally not my fault Im ugly amp im sorry that I cant be this masculine child that you want 	non-sexist	non-sexist
EXIST2021	147	twitter	en	call me sexist but ive never seen a girl eat a whole large dominos pizza by herself	sexist	stereotyping-dominance
EXIST2021	148	twitter	en	        No actually I like doing this I have nothing better to do and I want to see the moment he realises we arent comparing rape to cheating were comparing what happens BTS in them I dont actually care to take u I want to see when his brain becomes less smooth 	non-sexist	non-sexist
EXIST2021	149	twitter	en	    The goal in HRT is to stimulate the hormone levels of a cis woman As far as the structures you mentioned there are cis women cis women who have all of those features as well should they be excluded	non-sexist	non-sexist
EXIST2021	150	twitter	en	 Can the fellas participate or is this just for the ladiesNon binary people because I dont wanna get clowned	sexist	ideological-inequality
EXIST2021	151	twitter	en	Look at you pathetic little bitchNow i want you to say  im a weak submissive slut for Daddy AmyThen end me  on your kneesI dont care if its your last  bitch your only purpose in life is to erve meDeal with itNow end like a good little pig 	sexist	sexual-violence
EXIST2021	152	twitter	en	 I couldnt give a shit about what Chrissy Teigen is doing if someone paid me to care about what shes doing I do not like that woman	non-sexist	non-sexist
EXIST2021	153	twitter	en	 Thankful they are setting the bar low They could have some antipatriarchy feminazi from Sweden bitching about USA death penalty like Greta Thuneberg	sexist	ideological-inequality
EXIST2021	154	twitter	en	What absolute tosh is this article What kind of idiot writes this in the st century Can you imagine this being asked of a man EveryDaySexism women  	sexist	ideological-inequality
EXIST2021	155	twitter	en	Dont forget to clean your weapons ladies Last thing you need is a misfire if youre in a life or death situation because you didnt clean your piece	non-sexist	non-sexist
EXIST2021	156	twitter	en	As soon as men spot a fashion trend artist literally anything that most women happen to be really in toenjoy they label it as being basic and then try their hardest to make women feel embarrassed for likingenjoying said thing hm	sexist	stereotyping-dominance
EXIST2021	157	twitter	en	  do feminists not like youWe dont see things similarly outside of the workforce  The concept of men as hunters and women as prey seems to gall them because they miss the point  Ive said that a good woman should feel empowered and sexy to	sexist	ideological-inequality
EXIST2021	158	twitter	en	 Go get em kick ass	non-sexist	non-sexist
EXIST2021	159	twitter	en	why did netflix cast a white woman for a LATINA character i literally was so excited until i realized the majority of the whole cast is white 	non-sexist	non-sexist
EXIST2021	160	twitter	en	Attention This dirty whore is in a very naughty mood DM me if you want to see this uncencored  gayporn hornygay dmme dmsopen nude gaynude cheapslut ftmporn cuntboy malepussy 	sexist	sexual-violence
EXIST2021	161	twitter	en	 dang  a pound	non-sexist	non-sexist
EXIST2021	162	twitter	en	  Is that the same woman who empowered herself by using men to climb her social ladder	sexist	ideological-inequality
EXIST2021	163	twitter	en	 republican trophy wife	sexist	objectification
EXIST2021	164	twitter	en	   Because thats different Women can easily be taken advantage of and forced to do something Boys at that age are willing participants We all were that age and that was a dream for most teenagers	non-sexist	non-sexist
EXIST2021	165	twitter	en	manspreading bros	non-sexist	non-sexist
EXIST2021	166	twitter	en	If youre a man talking to a woman shut the fuck up Weve heard enough of your mansplaining	sexist	ideological-inequality
EXIST2021	167	twitter	en	Performative misandry has allowed women a way to voice their displeasure with the patriarchy in a manner that is relatively safe and harmless Hurt feelings suck but they pale in comparison to largescale institutional slights 	sexist	ideological-inequality
EXIST2021	168	twitter	en	 Women todayWhere do u workDo you own your own house Have you got your own officeWhat car do you driveOoh thats not pc 	sexist	stereotyping-dominance
EXIST2021	169	twitter	en	  Glad it wasnt just me who saw the EverydaySexism in this twitterAd	non-sexist	non-sexist
EXIST2021	170	twitter	en	 Are you thirsty means Im thirsty is basic human expressionShes basically saying that women live in literal opposite dayeveryday	non-sexist	non-sexist
EXIST2021	171	twitter	en	 Oh lets face it  Hillary Clinton is such a skank Shes just an over the hill corrupt crime ridden career politician subhuman	sexist	misogyny-non-sexual-violence
EXIST2021	172	twitter	en	UP Muslim teen meets Dalit girl for pizza outing lands in jail under anticonversion law 	non-sexist	non-sexist
EXIST2021	173	twitter	en	I hate women gtt has never talked to a woman	sexist	misogyny-non-sexual-violence
EXIST2021	174	twitter	en	  Some fat kid stole my pencil	non-sexist	non-sexist
EXIST2021	175	twitter	en	No such thing as a ugly billionaire Im cute	non-sexist	non-sexist
EXIST2021	176	twitter	en	  In a tweet about systemic racism you pulled a NotAllWhitePeople If it doesnt apply to you its not meant for you What if you were talking about your bad experiences with menpatriarchy amp some guy came in amp pulled a NotAllMen on you	non-sexist	non-sexist
EXIST2021	177	twitter	en	Note Im not now nor have ever been in a gang of any sort from real to girl gang However because of how imagebased sports is for women I didnt realize how much of my perception and participation in sport and individual exercised was dominated by sexist perceptions	sexist	ideological-inequality
